node,mean_dscore
2422,0.21382070431270347
2423,0.22452426752719545
2424,0.2259542934783245
2425,0.22504821403548853
2426,0.21876945409368292
2427,0.21495364199621675
2428,0.21422690978474085
2429,0.22449380039562442
2430,0.21667518718297857
2431,0.20642018787961994
2432,0.22042351410928807
2433,0.21415115356180983
2434,0.20407090403802194
2435,0.19987781573987745
2436,0.19889104066090973
2437,0.19917681793124675
2438,0.19839736292642937
2439,0.22525909721740675
2440,0.22563458954850205
2441,0.2286639905277688
2442,0.22576357097608074
2443,0.2317312401901491
2444,0.22526200609207275
2445,0.2180189884062407
2446,0.2127232669709222
2447,0.23080132544724363
2448,0.22837492989665212
2449,0.22910402125318796
2450,0.22875089801218945
2451,0.2294609247736804
2452,0.22822243133831352
2453,0.2229100224455419
2454,0.22806583163503424
2455,0.2271001386515524
2456,0.23026794734985814
2457,0.22582130826969501
2458,0.22778227835570589
2459,0.22129153841129062
2460,0.23095374638585595
2461,0.22703443825836056
2462,0.21720280805228698
2463,0.21868399787689746
2464,0.23100947130862984
2465,0.23052634773129382
2466,0.21896403378447848
2467,0.2158264181356132
2468,0.21202211089219192
2469,0.21528236077279225
2470,0.22107475028356763
2471,0.21125322274064678
2472,0.21700632058201025
2473,0.2265104394535304
2474,0.2227050861182643
2475,0.22210091867506337
2476,0.22220947096759663
2477,0.2236403862552267
2478,0.22476279338991118
2479,0.22354283781150996
2480,0.22146083870233932
2481,0.2207167372900413
2482,0.22119489233726466
2483,0.22176530507644168
2484,0.22308543236967657
2485,0.21904760308276008
2486,0.21858428771179766
2487,0.2189018991820439
2488,0.2180708782701199
2489,0.21736580590116586
2490,0.24493702087958155
2491,0.23897972237609746
2492,0.23361557740589145
2493,0.23275791024033843
2494,0.22394212486002507
2495,0.21630825609397114
2496,0.21647423150075756
2497,0.21594822057029753
2498,0.21127236662467583
2499,0.20056389154474008
2500,0.2220041573166256
2501,0.2212861578177949
2502,0.22310251430533923
2503,0.22422445045650646
2504,0.22262340740788725
2505,0.22227153494758758
2506,0.2202685365995464
2507,0.21949747509290288
2508,0.2194294710169148
2509,0.22487666838667028
2510,0.22218366323363511
2511,0.22307997993091178
2512,0.22430885104590634
2513,0.22406654319193658
2514,0.22241580682052994
2515,0.2229518209007926
2516,0.2215169906273372
2517,0.22226088329317933
2518,0.22486656601797897
2519,0.2222283573218326
2520,0.21805781293597623
2521,0.21885275785340216
2522,0.2198746321989559
2523,0.2208764537087121
2524,0.22060493967762512
2525,0.21824954152073978
2526,0.21721213089918462
2527,0.2185530482974761
2528,0.21923583404076782
2529,0.2220793973364845
2530,0.22451216450408412
2531,0.2251349637813066
2532,0.2250636967523264
2533,0.22324030751451177
2534,0.22289577869462188
2535,0.2243296634833072
2536,0.22370112010813822
2537,0.22479592362920672
2538,0.22380974639731666
2539,0.22786070222838212
2540,0.22608437343237336
2541,0.22578836384214004
2542,0.21894283114812596
2543,0.21772137740808423
2544,0.22477504089040784
2545,0.22128774626585956
2546,0.22277946244407748
2547,0.22043137001976004
2548,0.22154883394606423
2549,0.22060722128649904
2550,0.22359327716405022
2551,0.22730130427127085
2552,0.22403064306413772
2553,0.22508281747899786
2554,0.22643401847810413
2555,0.2232077402175097
2556,0.22217345520301235
2557,0.22246497674217328
2558,0.22267058040618185
2559,0.2217655828378895
2560,0.21259446095448936
2561,0.21526737593488715
2562,0.21664987140371708
2563,0.21479093912642647
